iter	Passed	Remaining
666	19162	9566
667	19191	9538
668	19218	9508
669	19247	9480
670	19276	9451
671	19303	9422
672	19334	9394
673	19368	9368
674	19401	9341
675	19431	9313
676	19463	9286
677	19494	9258
678	19527	9231
679	19557	9203
680	19586	9174
681	19614	9145
682	19647	9119
683	19677	9090
684	19707	9062
685	19737	9034
686	19767	9006
687	19796	8977
688	19827	8949
689	19857	8921
690	19886	8892
691	19916	8864
692	19945	8835
693	19974	8807
694	20001	8777
695	20031	8749
696	20061	8721
697	20097	8695
698	20127	8667
699	20157	8639
700	20187	8610
701	20218	8582
702	20245	8553
703	20273	8524
704	20302	8495
705	20329	8465
706	20358	8437
707	20386	8407
708	20414	8378
709	20441	8349
710	20471	8320
711	20499	8291
712	20527	8262
713	20556	8234
714	20584	8205
715	20613	8176
716	20641	8147
717	20670	8118
718	20697	8089
719	20725	8059
720	20753	8030
721	20782	8002
722	20811	7973
723	20839	7944
724	20867	7915
725	20905	7890
726	20939	7863
727	20968	7834
728	20996	7805
729	21025	7776
730	21054	7747
731	21083	7719
732	21112	7690
733	21141	7661
734	21169	7632
735	21197	7603
736	21225	7574
737	21253	7545
738	21282	7516
739	21312	7488
740	21339	7458
741	21367	7429
742	21395	7400
743	21425	7372
744	21454	7343
745	21481	7314
746	21509	7285
747	21537	7255
748	21566	7227
749	21594	7198
750	21623	7169
751	21650	7140
752	21678	7111
753	21706	7082
754	21735	7053
755	21763	7024
756	21791	6995
757	21819	6966
758	21848	6937
759	21878	6908
760	21905	6879
761	21935	6851
762	21963	6822
763	21993	6793
764	22021	6764
765	22049	6735
766	22076	6706
767	22103	6677
768	22132	6648
769	22161	6619
770	22189	6590
771	22217	6561
772	22245	6532
773	22273	6503
774	22302	6474
775	22329	6445
776	22359	6417
777	22386	6387
778	22415	6359
779	22443	6330
780	22471	6301
781	22500	6272
782	22527	6243
783	22556	6214
784	22583	6185
785	22609	6155
786	22639	6127
787	22667	6098
788	22694	6069
789	22722	6040
790	22751	6011
791	22779	5982
792	22807	5953
793	22835	5924
794	22863	5895
795	22891	5866
796	22920	5837
797	22947	5808
798	22976	5780
799	23006	5751
800	23033	5722
801	23062	5693
802	23091	5665
803	23119	5636
804	23146	5606
805	23174	5578
806	23203	5549
807	23231	5520
808	23258	5491
809	23286	5462
810	23314	5433
811	23343	5404
812	23372	5375
813	23401	5347
814	23429	5318
815	23458	5289
816	23485	5260
817	23512	5231
818	23539	5202
819	23568	5173
820	23595	5144
821	23622	5115
822	23650	5086
823	23678	5057
824	23708	5029
825	23736	5000
826	23764	4971
827	23793	4942
828	23822	4913
829	23851	4885
830	23880	4856
831	23908	4827
832	23937	4798
833	23965	4770
834	23993	4741
835	24021	4712
836	24051	4683
837	24079	4654
838	24107	4626
839	24135	4597
840	24163	4568
841	24190	4539
842	24218	4510
843	24245	4481
844	24279	4453
845	24308	4424
846	24337	4396
847	24369	4368
848	24397	4339
849	24426	4310
850	24454	4281
851	24481	4252
852	24519	4225
853	24552	4197
854	24588	4170
855	24619	4141
856	24650	4113
857	24678	4084
858	24706	4055
859	24734	4026
860	24762	3997
861	24789	3968
862	24816	3939
863	24845	3910
864	24873	3882
865	24904	3853
866	24932	3824
867	24961	3796
868	24990	3767
869	25018	3738
870	25047	3709
871	25076	3681
872	25105	3652
873	25134	3623
874	25163	3594
875	25190	3565
876	25219	3537
877	25246	3508
878	25275	3479
879	25304	3450
880	25333	3421
881	25362	3393
882	25391	3364
883	25420	3335
884	25448	3306
885	25475	3277
886	25504	3249
887	25532	3220
888	25560	3191
889	25589	3162
890	25617	3133
891	25644	3104
892	25671	3076
893	25699	3047
894	25727	3018
895	25754	2989
896	25781	2960
897	25810	2931
898	25836	2902
899	25864	2873
900	25892	2845
901	25921	2816
902	25949	2787
903	25977	2758
904	26005	2729
905	26033	2701
906	26062	2672
907	26091	2643
908	26119	2614
909	26148	2586
910	26177	2557
911	26204	2528
912	26233	2499
913	26261	2470
914	26288	2442
915	26318	2413
916	26347	2384
917	26375	2355
918	26404	2327
919	26433	2298
920	26463	2269
921	26490	2241
922	26519	2212
923	26549	2183
924	26579	2155
925	26609	2126
926	26641	2097
927	26669	2069
928	26696	2040
929	26726	2011
930	26756	1982
931	26785	1954
932	26814	1925
933	26843	1896
934	26871	1868
935	26898	1839
936	26927	1810
937	26956	1781
938	26984	1752
939	27012	1724
940	27041	1695
941	27075	1667
942	27103	1638
943	27130	1609
944	27159	1580
945	27189	1552
946	27216	1523
947	27245	1494
948	27275	1465
949	27303	1437
950	27332	1408
951	27359	1379
952	27387	1350
953	27416	1321
954	27445	1293
955	27473	1264
956	27502	1235
957	27530	1206
958	27558	1178
959	27586	1149
960	27615	1120
961	27643	1091
962	27670	1063
963	27698	1034
964	27725	1005
965	27754	976
966	27785	948
967	27813	919
968	27840	890
969	27868	861
970	27896	833
971	27924	804
972	27952	775
973	27979	746
974	28006	718
975	28034	689
976	28063	660
977	28090	631
978	28118	603
979	28147	574
980	28175	545
981	28203	516
982	28231	488
983	28260	459
984	28288	430
985	28315	402
986	28344	373
987	28372	344
988	28400	315
989	28428	287
990	28455	258
991	28483	229
992	28512	200
993	28540	172
994	28569	143
995	28598	114
996	28626	86
997	28654	57
998	28683	28
999	28712	0
